No	Time	T1/T2	Value	Unit	Judge
106	2018/03/22_15:08:54	T1	296.0	K-T	Fail
107	2018/03/22_15:08:55	T1	296.1	K-T	Fail
108	2018/03/22_15:08:56	T1	296.1	K-T	Fail
109	2018/03/22_15:08:57	T1	296.0	K-T	Fail
110	2018/03/22_15:08:58	T1	296.1	K-T	Fail
111	2018/03/22_15:08:58	T1	296.1	K-T	Fail
112	2018/03/22_15:08:59	T1	296.0	K-T	Fail
113	2018/03/22_15:09:01	T1	296.1	K-T	Fail
114	2018/03/22_15:09:02	T1	296.0	K-T	Fail
115	2018/03/22_15:09:03	T1	296.0	K-T	Fail
116	2018/03/22_15:09:04	T1	296.0	K-T	Fail
117	2018/03/22_15:09:05	T1	296.0	K-T	Fail
118	2018/03/22_15:09:06	T1	296.1	K-T	Fail
119	2018/03/22_15:09:07	T1	296.0	K-T	Fail
120	2018/03/22_15:09:08	T1	296.0	K-T	Fail
121	2018/03/22_15:09:09	T1	296.0	K-T	Fail
122	2018/03/22_15:09:10	T1	296.0	K-T	Fail
123	2018/03/22_15:09:11	T1	296.0	K-T	Fail
124	2018/03/22_15:09:12	T1	296.0	K-T	Fail
125	2018/03/22_15:09:13	T1	296.0	K-T	Fail
126	2018/03/22_15:09:14	T1	296.0	K-T	Fail
127	2018/03/22_15:09:15	T1	296.1	K-T	Fail
128	2018/03/22_15:09:16	T1	296.0	K-T	Fail
129	2018/03/22_15:09:17	T1	296.0	K-T	Fail
130	2018/03/22_15:09:18	T1	296.0	K-T	Fail
131	2018/03/22_15:09:19	T1	296.0	K-T	Fail
132	2018/03/22_15:09:20	T1	296.0	K-T	Fail
133	2018/03/22_15:09:21	T1	296.0	K-T	Fail
134	2018/03/22_15:09:22	T1	296.1	K-T	Fail
135	2018/03/22_15:09:23	T1	296.0	K-T	Fail
136	2018/03/22_15:09:24	T1	296.0	K-T	Fail
137	2018/03/22_15:09:25	T1	296.0	K-T	Fail
138	2018/03/22_15:09:26	T1	296.0	K-T	Fail
139	2018/03/22_15:09:27	T1	296.0	K-T	Fail
140	2018/03/22_15:09:28	T1	296.0	K-T	Fail
141	2018/03/22_15:09:29	T1	296.0	K-T	Fail
142	2018/03/22_15:09:30	T1	296.1	K-T	Fail
143	2018/03/22_15:09:31	T1	296.0	K-T	Fail
144	2018/03/22_15:09:32	T1	296.0	K-T	Fail
145	2018/03/22_15:09:33	T1	296.0	K-T	Fail
146	2018/03/22_15:09:34	T1	296.0	K-T	Fail
147	2018/03/22_15:09:35	T1	296.0	K-T	Fail
148	2018/03/22_15:09:36	T1	296.0	K-T	Fail
149	2018/03/22_15:09:37	T1	296.0	K-T	Fail
150	2018/03/22_15:09:38	T1	296.0	K-T	Fail
151	2018/03/22_15:09:39	T1	296.0	K-T	Fail
152	2018/03/22_15:09:40	T1	296.0	K-T	Fail
153	2018/03/22_15:09:41	T1	296.1	K-T	Fail
154	2018/03/22_15:09:42	T1	296.0	K-T	Fail
155	2018/03/22_15:09:43	T1	296.0	K-T	Fail
156	2018/03/22_15:09:44	T1	296.0	K-T	Fail
157	2018/03/22_15:09:45	T1	296.0	K-T	Fail
158	2018/03/22_15:09:46	T1	296.0	K-T	Fail
159	2018/03/22_15:09:47	T1	296.0	K-T	Fail
160	2018/03/22_15:09:48	T1	296.0	K-T	Fail
161	2018/03/22_15:09:48	T1	296.0	K-T	Fail
162	2018/03/22_15:09:50	T1	296.0	K-T	Fail
163	2018/03/22_15:09:51	T1	296.0	K-T	Fail
164	2018/03/22_15:09:52	T1	296.0	K-T	Fail
165	2018/03/22_15:09:53	T1	296.0	K-T	Fail
166	2018/03/22_15:09:54	T1	296.1	K-T	Fail
167	2018/03/22_15:09:55	T1	296.0	K-T	Fail
168	2018/03/22_15:09:56	T1	296.0	K-T	Fail
169	2018/03/22_15:09:57	T1	296.0	K-T	Fail
170	2018/03/22_15:09:58	T1	296.0	K-T	Fail
171	2018/03/22_15:09:59	T1	296.0	K-T	Fail
172	2018/03/22_15:10:00	T1	296.0	K-T	Fail
173	2018/03/22_15:10:01	T1	296.0	K-T	Fail
174	2018/03/22_15:10:02	T1	296.0	K-T	Fail
175	2018/03/22_15:10:03	T1	296.0	K-T	Fail
176	2018/03/22_15:10:04	T1	296.0	K-T	Fail
177	2018/03/22_15:10:05	T1	296.0	K-T	Fail
178	2018/03/22_15:10:06	T1	296.0	K-T	Fail
179	2018/03/22_15:10:07	T1	296.0	K-T	Fail
180	2018/03/22_15:10:08	T1	296.0	K-T	Fail
181	2018/03/22_15:10:09	T1	296.0	K-T	Fail
182	2018/03/22_15:10:10	T1	296.0	K-T	Fail
183	2018/03/22_15:10:11	T1	296.0	K-T	Fail
184	2018/03/22_15:10:12	T1	296.0	K-T	Fail
185	2018/03/22_15:10:13	T1	296.0	K-T	Fail
