[0.0016 0.001  0.0016 0.0016 0.0016 0.0021 0.001  0.001  0.0021 0.0016],[0.1008 0.1013 0.1013 0.1019 0.1013 0.1019 0.1013 0.1019 0.1013 0.1013],[0.2006 0.2006 0.2006 0.2001 0.2006 0.2011 0.2006 0.2001 0.2006 0.2001],[0.2983 0.2983 0.2983 0.2983 0.2988 0.2978 0.2983 0.2983 0.2978 0.2983],[0.3965 0.397  0.3965 0.397  0.397  0.397  0.3965 0.3965 0.397  0.3965],[0.4973 0.4978 0.4973 0.4973 0.4978 0.4978 0.4978 0.4978 0.4983 0.4973],[0.5976 0.5976 0.5981 0.5981 0.5981 0.5986 0.5981 0.5976 0.5981 0.5981],[0.6979 0.6974 0.6974 0.6979 0.6974 0.6974 0.6974 0.6974 0.6974 0.6968],[0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7977 0.7982 0.7982],[0.8974 0.8974 0.8974 0.8974 0.8974 0.8969 0.8974 0.8974 0.8974 0.8969],[0.9972 0.9967 0.9967 0.9967 0.9967 0.9972 0.9967 0.9962 0.9967 0.9967],[1.0959 1.0959 1.0959 1.0959 1.0965 1.0959 1.0959 1.0959 1.0959 1.0965],[1.1978 1.1978 1.1978 1.1973 1.1978 1.1978 1.1973 1.1978 1.1973 1.1978],[1.2965 1.2965 1.2965 1.296  1.2965 1.2965 1.296  1.2965 1.296  1.296 ],[1.3911 1.3911 1.3911 1.3916 1.3911 1.3911 1.3906 1.3916 1.3911 1.3916],[1.4924 1.4924 1.4924 1.4919 1.4924 1.4929 1.4919 1.4924 1.4924 1.4924],[1.5917 1.5922 1.5917 1.5922 1.5917 1.5917 1.5917 1.5917 1.5917 1.5917],[1.6914 1.692  1.692  1.6914 1.6914 1.6914 1.6914 1.6914 1.6914 1.6914],[1.7891 1.7891 1.7891 1.7891 1.7896 1.7891 1.7886 1.7891 1.7891 1.7896],[1.8873 1.8873 1.8873 1.8868 1.8873 1.8873 1.8879 1.8879 1.8873 1.8879],[1.9902 1.9902 1.9908 1.9902 1.9902 1.9902 1.9902 1.9902 1.9902 1.9902],[2.0853 2.0853 2.0853 2.0853 2.0853 2.0853 2.0848 2.0853 2.0853 2.0853],[2.1799 2.1799 2.1799 2.1799 2.1799 2.1799 2.1804 2.1804 2.1804 2.1799],[2.2744 2.2744 2.2744 2.2749 2.2749 2.2749 2.2744 2.2744 2.2744 2.2744],[2.3381 2.3387 2.3392 2.3381 2.3387 2.3387 2.3381 2.3381 2.3381 2.3381],[2.3376 2.3376 2.3381 2.3376 2.3381 2.3381 2.3376 2.3381 2.3376 2.3381],[2.3376 2.3376 2.3371 2.3371 2.3376 2.3371 2.3376 2.3376 2.3366 2.3376],[2.3371 2.3371 2.3371 2.3371 2.3371 2.3371 2.3376 2.3371 2.3371 2.3376],[2.3371 2.3366 2.3376 2.3366 2.3371 2.3366 2.336  2.3371 2.3366 2.3371],[2.3366 2.3371 2.3371 2.3371 2.3371 2.3371 2.3371 2.3366 2.3366 2.3366]
|[-0.00098 -0.00103 -0.00103 -0.00093 -0.00108 -0.00098 -0.00098 -0.00098
 -0.00098 -0.00103]|,|[-0.00103 -0.00093 -0.00108 -0.00093 -0.00082 -0.00103 -0.00093 -0.00093
 -0.00098 -0.00098]|,|[-0.00108 -0.00103 -0.00098 -0.00108 -0.00093 -0.00103 -0.00103 -0.00108
 -0.00103 -0.00087]|,|[-0.00087 -0.00098 -0.00108 -0.00103 -0.00103 -0.00103 -0.00093 -0.00108
 -0.00098 -0.00098]|,|[-0.00098 -0.00098 -0.00103 -0.00098 -0.00118 -0.00103 -0.00113 -0.00098
 -0.00103 -0.00098]|,|[-0.00108 -0.00108 -0.00098 -0.00093 -0.00108 -0.00093 -0.00103 -0.00108
 -0.00098 -0.00118]|,|[-0.00098 -0.00103 -0.00113 -0.00103 -0.00113 -0.00103 -0.00103 -0.00103
 -0.00103 -0.00098]|,|[-0.00098 -0.00108 -0.00103 -0.00103 -0.00103 -0.00108 -0.00108 -0.00098
 -0.00098 -0.00098]|,|[-0.00098 -0.00103 -0.00098 -0.00103 -0.00103 -0.00103 -0.00103 -0.00103
 -0.00093 -0.00093]|,|[-0.00098 -0.00087 -0.00103 -0.00093 -0.00093 -0.00103 -0.00103 -0.00098
 -0.00093 -0.00103]|,|[-0.00093 -0.00103 -0.00103 -0.00093 -0.00108 -0.00098 -0.00093 -0.00093
 -0.00093 -0.00098]|,|[-0.00087 -0.00093 -0.00098 -0.00082 -0.00103 -0.00093 -0.00082 -0.00087
 -0.00077 -0.00087]|,|[-0.00077 -0.00077 -0.00093 -0.00072 -0.00082 -0.00077 -0.00082 -0.00077
 -0.00072 -0.00077]|,|[-0.00067 -0.00051 -0.00057 -0.00072 -0.00057 -0.00057 -0.00067 -0.00067
 -0.00062 -0.00077]|,|[-0.00041 -0.00026 -0.00036 -0.00036 -0.00041 -0.00046 -0.00036 -0.00031
 -0.00036 -0.00036]|,|[-5.e-05  1.e-04  5.e-05 -5.e-05  0.e+00 -5.e-05  5.e-05  0.e+00  1.e-04
 -5.e-05]|,|[0.00057 0.00067 0.00062 0.00067 0.00062 0.00067 0.00046 0.00057 0.00057
 0.00057]|,|[0.00149 0.00144 0.00139 0.00154 0.00149 0.00149 0.00154 0.00149 0.00154
 0.00149]|,|[0.00268 0.00278 0.00283 0.00268 0.00273 0.00268 0.00268 0.00278 0.00268
 0.00268]|,|[0.00432 0.00448 0.00448 0.00443 0.00443 0.00437 0.00437 0.00443 0.00448
 0.00443]|,|[0.00679 0.00674 0.00674 0.00679 0.00669 0.00674 0.00664 0.00674 0.00679
 0.00669]|,|[0.00968 0.00983 0.00973 0.00962 0.00978 0.00973 0.00968 0.00968 0.00968
 0.00968]|,|[0.01359 0.01333 0.01359 0.01348 0.01348 0.01354 0.01359 0.01348 0.01364
 0.01354]|,|[0.01848 0.01842 0.01848 0.01842 0.01842 0.01848 0.01848 0.01842 0.01842
 0.01853]|,|[0.02244 0.02249 0.02249 0.02254 0.02249 0.02249 0.02249 0.02254 0.02249
 0.02254]|,|[0.02254 0.02254 0.02249 0.02244 0.02249 0.02249 0.02249 0.02249 0.02254
