[0.0016 0.001  0.001  0.0016 0.0016 0.0021 0.001  0.001  0.0016 0.001 ],[0.1013 0.1008 0.1013 0.1019 0.1008 0.1019 0.1013 0.1013 0.1013 0.1019],[0.2001 0.2006 0.2006 0.2006 0.2001 0.2001 0.2001 0.2006 0.2001 0.2006],[0.2983 0.2983 0.2983 0.2983 0.2978 0.2978 0.2983 0.2983 0.2978 0.2983],[0.397  0.397  0.397  0.3965 0.3965 0.397  0.3965 0.3965 0.3965 0.397 ],[0.4973 0.4973 0.4973 0.4978 0.4978 0.4973 0.4978 0.4978 0.4973 0.4973],[0.5981 0.5981 0.5981 0.5981 0.5981 0.5986 0.5981 0.5981 0.5976 0.5981],[0.6979 0.6974 0.6974 0.6974 0.6968 0.6974 0.6968 0.6974 0.6974 0.6974],[0.7977 0.7982 0.7977 0.7977 0.7982 0.7977 0.7982 0.7982 0.7982 0.7977],[0.898  0.8974 0.8974 0.8974 0.8974 0.8974 0.8974 0.8969 0.8974 0.8969],[0.9972 0.9967 0.9967 0.9972 0.9967 0.9962 0.9967 0.9972 0.9972 0.9967],[1.0959 1.0959 1.0959 1.0959 1.0965 1.0959 1.0959 1.0965 1.0959 1.0965],[1.1973 1.1973 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978 1.1978],[1.2965 1.2965 1.296  1.2965 1.296  1.2965 1.296  1.2965 1.2965 1.2965],[1.3916 1.3911 1.3906 1.3916 1.3916 1.3911 1.3911 1.3911 1.3916 1.3916],[1.4919 1.4924 1.4924 1.4924 1.4924 1.4919 1.4919 1.4924 1.4919 1.4919],[1.5917 1.5911 1.5917 1.5917 1.5917 1.5917 1.5911 1.5911 1.5917 1.5917],[1.6909 1.6914 1.6914 1.6914 1.6909 1.6909 1.6909 1.6909 1.6914 1.6914],[1.7886 1.7881 1.7886 1.7891 1.7891 1.7886 1.7886 1.7891 1.7886 1.7886],[1.8868 1.8863 1.8863 1.8868 1.8873 1.8868 1.8863 1.8873 1.8863 1.8868],[1.9897 1.9892 1.9897 1.9897 1.9892 1.9892 1.9892 1.9897 1.9892 1.9892],[2.0837 2.0843 2.0837 2.0843 2.0843 2.0843 2.0843 2.0843 2.0843 2.0843],[2.1788 2.1783 2.1788 2.1783 2.1788 2.1783 2.1788 2.1788 2.1788 2.1783],[2.2728 2.2728 2.2723 2.2723 2.2728 2.2728 2.2728 2.2723 2.2734 2.2728],[2.3115 2.311  2.3104 2.3115 2.311  2.311  2.311  2.3104 2.3104 2.3104],[2.3104 2.3104 2.3104 2.311  2.3104 2.3104 2.3104 2.3104 2.3104 2.3104],[2.3104 2.3104 2.3099 2.3099 2.3099 2.3099 2.3099 2.3099 2.3099 2.3099],[2.3099 2.3104 2.3099 2.3104 2.3099 2.3094 2.3099 2.3094 2.3104 2.3099],[2.3099 2.3099 2.3099 2.3104 2.3104 2.3104 2.3104 2.3099 2.3099 2.3099],[2.3089 2.3094 2.3104 2.3099 2.3099 2.3094 2.3099 2.3094 2.3094 2.3099]
|[-0.00103 -0.00103 -0.00093 -0.00103 -0.00108 -0.00098 -0.00103 -0.00098
 -0.00093 -0.00103]|,|[-0.00093 -0.00098 -0.00113 -0.00098 -0.00098 -0.00103 -0.00098 -0.00098
 -0.00103 -0.00103]|,|[-0.00103 -0.00098 -0.00103 -0.00103 -0.00098 -0.00103 -0.00103 -0.00098
 -0.00124 -0.00093]|,|[-0.00108 -0.00093 -0.00108 -0.00093 -0.00098 -0.00108 -0.00103 -0.00093
 -0.00098 -0.00103]|,|[-0.00098 -0.00098 -0.00098 -0.00103 -0.00108 -0.00103 -0.00098 -0.00103
 -0.00098 -0.00093]|,|[-0.00108 -0.00098 -0.00103 -0.00103 -0.00093 -0.00098 -0.00103 -0.00098
 -0.00098 -0.00093]|,|[-0.00087 -0.00103 -0.00108 -0.00098 -0.00103 -0.00103 -0.00103 -0.00103
 -0.00103 -0.00108]|,|[-0.00093 -0.00098 -0.00098 -0.00103 -0.00098 -0.00103 -0.00108 -0.00093
 -0.00108 -0.00098]|,|[-0.00098 -0.00093 -0.00093 -0.00103 -0.00098 -0.00098 -0.00103 -0.00087
 -0.00103 -0.00098]|,|[-0.00093 -0.00103 -0.00113 -0.00087 -0.00124 -0.00108 -0.00087 -0.00113
 -0.00108 -0.00098]|,|[-0.00087 -0.00087 -0.00093 -0.00093 -0.00098 -0.00098 -0.00103 -0.00098
 -0.00093 -0.00103]|,|[-0.00093 -0.00082 -0.00077 -0.00098 -0.00077 -0.00093 -0.00093 -0.00087
 -0.00087 -0.00098]|,|[-0.00077 -0.00077 -0.00077 -0.00067 -0.00072 -0.00082 -0.00072 -0.00072
 -0.00077 -0.00077]|,|[-0.00062 -0.00046 -0.00057 -0.00062 -0.00057 -0.00057 -0.00057 -0.00051
 -0.00057 -0.00067]|,|[-0.00026 -0.00031 -0.00036 -0.00021 -0.00036 -0.00031 -0.00026 -0.00031
 -0.00031 -0.00021]|,|[1.5e-04 2.1e-04 2.1e-04 5.0e-05 1.0e-04 1.0e-04 0.0e+00 1.0e-04 2.1e-04
 1.5e-04]|,|[0.00087 0.00082 0.00077 0.00093 0.00082 0.00072 0.00087 0.00077 0.00077
 0.00082]|,|[0.00165 0.0017  0.00175 0.0017  0.00185 0.00175 0.00165 0.00175 0.00185
 0.00165]|,|[0.00309 0.00314 0.00304 0.00314 0.00293 0.00298 0.00304 0.00309 0.00304
 0.00304]|,|[0.00489 0.00494 0.00479 0.00473 0.00489 0.00479 0.00473 0.00489 0.00484
 0.00479]|,|[0.00731 0.00741 0.00741 0.00741 0.00741 0.00741 0.00741 0.00736 0.00741
 0.00751]|,|[0.01055 0.0106  0.0106  0.0106  0.01055 0.01065 0.01065 0.0105  0.0105
 0.01055]|,|[0.01462 0.01462 0.01456 0.01456 0.01467 0.01472 0.01456 0.01467 0.01456
 0.01462]|,|[0.01976 0.01992 0.01992 0.01992 0.01992 0.01997 0.01997 0.01987 0.01981
 0.01987]|,|[0.02244 0.02249 0.02249 0.02244 0.02249 0.02239 0.02244 0.02244 0.02244
 0.02239]|,|[0.02254 0.02249 0.02244 0.02254 0.02244 0.02249 0.02249 0.02239 0.02254
