[0.001  0.0016 0.001  0.0016 0.001  0.0016 0.0016 0.0016 0.0016 0.0016],[0.1013 0.1013 0.1013 0.1013 0.1008 0.1019 0.1013 0.1008 0.1013 0.1019],[0.2006 0.2006 0.2006 0.2006 0.2006 0.2006 0.2006 0.2006 0.2001 0.2006],[0.2983 0.2983 0.2983 0.2983 0.2983 0.2983 0.2983 0.2978 0.2983 0.2983],[0.3965 0.3965 0.397  0.3965 0.3965 0.3965 0.3965 0.397  0.397  0.3965],[0.4973 0.4973 0.4973 0.4973 0.4973 0.4973 0.4973 0.4973 0.4973 0.4973],[0.5981 0.5981 0.5981 0.5981 0.5976 0.5981 0.5981 0.5981 0.5981 0.5981],[0.6974 0.6974 0.6974 0.6974 0.6979 0.6979 0.6974 0.6974 0.6974 0.6974],[0.7971 0.7977 0.7977 0.7977 0.7982 0.7977 0.7977 0.7977 0.7977 0.7977],[0.8974 0.8974 0.8974 0.898  0.8969 0.8974 0.898  0.8974 0.8974 0.898 ],[0.9967 0.9972 0.9967 0.9967 0.9967 0.9967 0.9967 0.9972 0.9972 0.9967],[1.0959 1.0959 1.0959 1.0965 1.0959 1.0959 1.0959 1.0959 1.0965 1.0965],[1.1978 1.1978 1.1978 1.1973 1.1973 1.1978 1.1978 1.1978 1.1978 1.1978],[1.2965 1.2965 1.2965 1.297  1.2965 1.2965 1.2965 1.297  1.2965 1.2965],[1.3916 1.3911 1.3911 1.3916 1.3921 1.3911 1.3911 1.3916 1.3916 1.3906],[1.4924 1.4924 1.4924 1.4924 1.4924 1.4924 1.4924 1.4924 1.4929 1.4924],[1.5922 1.5917 1.5922 1.5922 1.5917 1.5917 1.5922 1.5922 1.5922 1.5922],[1.693 1.692 1.692 1.692 1.692 1.692 1.692 1.692 1.692 1.692],[1.7902 1.7896 1.7902 1.7896 1.7896 1.7902 1.7896 1.7896 1.7902 1.7896],[1.8884 1.8879 1.8889 1.8879 1.8879 1.8884 1.8884 1.8884 1.8884 1.8884],[1.9918 1.9918 1.9918 1.9918 1.9913 1.9918 1.9923 1.9918 1.9918 1.9923],[2.0874 2.0874 2.0874 2.0874 2.0869 2.0874 2.0874 2.0874 2.0874 2.0874],[2.183  2.1835 2.183  2.183  2.1825 2.183  2.183  2.183  2.1825 2.183 ],[2.2786 2.2786 2.2786 2.2781 2.2781 2.2786 2.2786 2.2786 2.2781 2.2786],[2.371  2.371  2.3716 2.371  2.371  2.3705 2.3705 2.371  2.371  2.371 ],[2.3946 2.3951 2.394  2.3946 2.3946 2.3951 2.3946 2.3951 2.3946 2.3951],[2.394  2.394  2.394  2.3946 2.394  2.3935 2.3946 2.394  2.3946 2.394 ],[2.393  2.3935 2.3935 2.3935 2.394  2.3935 2.393  2.3935 2.3935 2.3935],[2.3935 2.3935 2.3935 2.3935 2.3935 2.3935 2.394  2.3935 2.394  2.3935],[2.3935 2.3935 2.393  2.3935 2.393  2.393  2.393  2.393  2.393  2.393 ]
|[-0.00087 -0.00093 -0.00098 -0.00098 -0.00098 -0.00093 -0.00098 -0.00098
 -0.00093 -0.00093]|,|[-0.00093 -0.00098 -0.00093 -0.00087 -0.00098 -0.00082 -0.00087 -0.00093
 -0.00093 -0.00093]|,|[-0.00082 -0.00098 -0.00098 -0.00093 -0.00093 -0.00098 -0.00093 -0.00087
 -0.00087 -0.00087]|,|[-0.00093 -0.00098 -0.00087 -0.00093 -0.00093 -0.00093 -0.00093 -0.00098
 -0.00087 -0.00093]|,|[-0.00098 -0.00093 -0.00093 -0.00082 -0.00098 -0.00087 -0.00087 -0.00098
 -0.00098 -0.00093]|,|[-0.00093 -0.00093 -0.00098 -0.00098 -0.00093 -0.00087 -0.00093 -0.00103
 -0.00093 -0.00093]|,|[-0.00093 -0.00087 -0.00103 -0.00093 -0.00098 -0.00093 -0.00093 -0.00093
 -0.00087 -0.00093]|,|[-0.00087 -0.00087 -0.00098 -0.00093 -0.00098 -0.00098 -0.00087 -0.00093
 -0.00098 -0.00077]|,|[-0.00093 -0.00103 -0.00087 -0.00093 -0.00082 -0.00087 -0.00098 -0.00087
 -0.00093 -0.00087]|,|[-0.00098 -0.00093 -0.00087 -0.00098 -0.00082 -0.00093 -0.00082 -0.00082
 -0.00098 -0.00093]|,|[-0.00093 -0.00077 -0.00082 -0.00098 -0.00082 -0.00098 -0.00082 -0.00087
 -0.00093 -0.00087]|,|[-0.00093 -0.00087 -0.00093 -0.00072 -0.00082 -0.00087 -0.00082 -0.00082
 -0.00077 -0.00072]|,|[-0.00077 -0.00062 -0.00067 -0.00077 -0.00067 -0.00077 -0.00072 -0.00077
 -0.00072 -0.00062]|,|[-0.00067 -0.00062 -0.00072 -0.00051 -0.00051 -0.00072 -0.00062 -0.00051
 -0.00062 -0.00057]|,|[-0.00036 -0.00036 -0.00041 -0.00041 -0.00031 -0.00036 -0.00036 -0.00041
 -0.00031 -0.00041]|,|[-5.e-05 -5.e-05  0.e+00 -5.e-05 -5.e-05 -5.e-05 -1.e-04 -5.e-05 -5.e-05
 -5.e-05]|,|[0.00036 0.00036 0.00046 0.00057 0.00036 0.00051 0.00046 0.00046 0.00046
 0.00046]|,|[0.00118 0.00113 0.00124 0.00124 0.00124 0.00118 0.00113 0.00118 0.00113
 0.00129]|,|[0.00216 0.00232 0.00232 0.00211 0.00226 0.00232 0.00211 0.00232 0.00226
 0.00216]|,|[0.00365 0.00355 0.0036  0.0036  0.00365 0.00371 0.00365 0.0036  0.0036
 0.0036 ]|,|[0.00566 0.00556 0.00556 0.00571 0.00551 0.00566 0.00566 0.00556 0.00546
 0.00571]|,|[0.00813 0.00813 0.00813 0.00818 0.00813 0.00823 0.00818 0.00818 0.00813
 0.00818]|,|[0.01153 0.01137 0.01143 0.01143 0.01137 0.01143 0.01153 0.01143 0.01143
 0.01137]|,|[0.01559 0.01575 0.01575 0.0158  0.01565 0.0157  0.0157  0.01575 0.0157
 0.01549]|,|[0.02079 0.02089 0.02095 0.02089 0.02105 0.02095 0.02079 0.02095 0.021
 0.02089]|,|[0.02249 0.02244 0.02249 0.02254 0.02244 0.02249 0.02249 0.02259 0.02254
 0.02254]|,|[0.02254 0.02259 0.02244 0.02234 0.02249 0.02239 0.02254 0.02249 0.02244
 0.02254]|,|[0.02244 0.02249 0.02244 0.02249 0.02249 0.02239 0.02249 0.02254 0.02239
 0.02249]|,|[0.02259 0.02249 0.02259 0.02254 0.02249 0.02254 0.02244 0.02254 0.02244
 0.02254]|,|[0.02254 0.02254 0.02254 0.02249 0.02244 0.02254 0.02254 0.02249 0.02254
 0.02249]|
