No	Time	T1/T2	Value	Unit	Judge
106	2018/03/19_13:46:49	T1	80.2	K-T	Fail
107	2018/03/19_13:46:50	T1	80.2	K-T	Fail
108	2018/03/19_13:46:51	T1	80.2	K-T	Fail
109	2018/03/19_13:46:52	T1	80.3	K-T	Fail
110	2018/03/19_13:46:53	T1	80.3	K-T	Fail
111	2018/03/19_13:46:54	T1	80.3	K-T	Fail
112	2018/03/19_13:46:55	T1	80.3	K-T	Fail
113	2018/03/19_13:46:56	T1	80.2	K-T	Fail
114	2018/03/19_13:46:57	T1	80.2	K-T	Fail
115	2018/03/19_13:46:58	T1	80.2	K-T	Fail
116	2018/03/19_13:46:59	T1	80.2	K-T	Fail
117	2018/03/19_13:47:00	T1	80.2	K-T	Fail
118	2018/03/19_13:47:01	T1	80.2	K-T	Fail
119	2018/03/19_13:47:02	T1	80.2	K-T	Fail
120	2018/03/19_13:47:03	T1	80.2	K-T	Fail
121	2018/03/19_13:47:04	T1	80.2	K-T	Fail
122	2018/03/19_13:47:05	T1	80.2	K-T	Fail
123	2018/03/19_13:47:06	T1	80.2	K-T	Fail
124	2018/03/19_13:47:07	T1	80.2	K-T	Fail
125	2018/03/19_13:47:08	T1	80.2	K-T	Fail
126	2018/03/19_13:47:09	T1	80.2	K-T	Fail
127	2018/03/19_13:47:10	T1	80.2	K-T	Fail
128	2018/03/19_13:47:11	T1	80.2	K-T	Fail
129	2018/03/19_13:47:12	T1	80.2	K-T	Fail
130	2018/03/19_13:47:13	T1	80.2	K-T	Fail
131	2018/03/19_13:47:14	T1	80.2	K-T	Fail
132	2018/03/19_13:47:15	T1	80.2	K-T	Fail
133	2018/03/19_13:47:16	T1	80.2	K-T	Fail
134	2018/03/19_13:47:17	T1	80.2	K-T	Fail
135	2018/03/19_13:47:18	T1	80.2	K-T	Fail
136	2018/03/19_13:47:19	T1	80.2	K-T	Fail
137	2018/03/19_13:47:20	T1	80.2	K-T	Fail
138	2018/03/19_13:47:21	T1	80.3	K-T	Fail
139	2018/03/19_13:47:22	T1	80.2	K-T	Fail
140	2018/03/19_13:47:23	T1	80.2	K-T	Fail
141	2018/03/19_13:47:24	T1	80.2	K-T	Fail
142	2018/03/19_13:47:25	T1	80.2	K-T	Fail
143	2018/03/19_13:47:26	T1	80.2	K-T	Fail
144	2018/03/19_13:47:27	T1	80.2	K-T	Fail
145	2018/03/19_13:47:28	T1	80.2	K-T	Fail
146	2018/03/19_13:47:29	T1	80.2	K-T	Fail
147	2018/03/19_13:47:30	T1	80.2	K-T	Fail
148	2018/03/19_13:47:31	T1	80.2	K-T	Fail
149	2018/03/19_13:47:32	T1	80.2	K-T	Fail
150	2018/03/19_13:47:33	T1	80.2	K-T	Fail
151	2018/03/19_13:47:34	T1	80.2	K-T	Fail
152	2018/03/19_13:47:35	T1	80.2	K-T	Fail
153	2018/03/19_13:47:36	T1	80.2	K-T	Fail
154	2018/03/19_13:47:37	T1	80.2	K-T	Fail
155	2018/03/19_13:47:38	T1	80.2	K-T	Fail
156	2018/03/19_13:47:39	T1	80.2	K-T	Fail
157	2018/03/19_13:47:40	T1	80.2	K-T	Fail
158	2018/03/19_13:47:41	T1	80.2	K-T	Fail
159	2018/03/19_13:47:42	T1	80.2	K-T	Fail
160	2018/03/19_13:47:43	T1	80.2	K-T	Fail
161	2018/03/19_13:47:44	T1	80.2	K-T	Fail
162	2018/03/19_13:47:45	T1	80.2	K-T	Fail
163	2018/03/19_13:47:46	T1	80.2	K-T	Fail
164	2018/03/19_13:47:47	T1	80.2	K-T	Fail
165	2018/03/19_13:47:48	T1	80.2	K-T	Fail
166	2018/03/19_13:47:49	T1	80.2	K-T	Fail
167	2018/03/19_13:47:50	T1	80.2	K-T	Fail
168	2018/03/19_13:47:51	T1	80.2	K-T	Fail
169	2018/03/19_13:47:52	T1	80.2	K-T	Fail
170	2018/03/19_13:47:53	T1	80.2	K-T	Fail
171	2018/03/19_13:47:54	T1	80.2	K-T	Fail
172	2018/03/19_13:47:55	T1	80.2	K-T	Fail
173	2018/03/19_13:47:56	T1	80.2	K-T	Fail
174	2018/03/19_13:47:57	T1	80.2	K-T	Fail
175	2018/03/19_13:47:58	T1	80.3	K-T	Fail
176	2018/03/19_13:47:59	T1	80.3	K-T	Fail
177	2018/03/19_13:48:00	T1	80.2	K-T	Fail
178	2018/03/19_13:48:01	T1	80.2	K-T	Fail
179	2018/03/19_13:48:02	T1	80.2	K-T	Fail
180	2018/03/19_13:48:03	T1	80.2	K-T	Fail
181	2018/03/19_13:48:04	T1	80.2	K-T	Fail
182	2018/03/19_13:48:05	T1	80.2	K-T	Fail
183	2018/03/19_13:48:06	T1	80.2	K-T	Fail
184	2018/03/19_13:48:07	T1	80.2	K-T	Fail
185	2018/03/19_13:48:08	T1	80.2	K-T	Fail
186	2018/03/19_13:48:09	T1	80.2	K-T	Fail
187	2018/03/19_13:48:10	T1	80.2	K-T	Fail
188	2018/03/19_13:48:11	T1	80.2	K-T	Fail
189	2018/03/19_13:48:12	T1	80.2	K-T	Fail
190	2018/03/19_13:48:13	T1	80.2	K-T	Fail
191	2018/03/19_13:48:14	T1	80.2	K-T	Fail
192	2018/03/19_13:48:15	T1	80.2	K-T	Fail
193	2018/03/19_13:48:16	T1	80.2	K-T	Fail
194	2018/03/19_13:48:17	T1	80.2	K-T	Fail
195	2018/03/19_13:48:18	T1	80.2	K-T	Fail
196	2018/03/19_13:48:19	T1	80.2	K-T	Fail
197	2018/03/19_13:48:20	T1	80.2	K-T	Fail
198	2018/03/19_13:48:21	T1	80.2	K-T	Fail
199	2018/03/19_13:48:22	T1	80.2	K-T	Fail
200	2018/03/19_13:48:23	T1	80.2	K-T	Fail
201	2018/03/19_13:48:24	T1	80.2	K-T	Fail
202	2018/03/19_13:48:25	T1	80.2	K-T	Fail
203	2018/03/19_13:48:26	T1	80.2	K-T	Fail
204	2018/03/19_13:48:27	T1	80.2	K-T	Fail
205	2018/03/19_13:48:28	T1	80.2	K-T	Fail
206	2018/03/19_13:48:29	T1	80.2	K-T	Fail
207	2018/03/19_13:48:30	T1	80.2	K-T	Fail
208	2018/03/19_13:48:31	T1	80.2	K-T	Fail
209	2018/03/19_13:48:32	T1	80.2	K-T	Fail
210	2018/03/19_13:48:33	T1	80.2	K-T	Fail
211	2018/03/19_13:48:34	T1	80.2	K-T	Fail
212	2018/03/19_13:48:35	T1	80.2	K-T	Fail
213	2018/03/19_13:48:36	T1	80.2	K-T	Fail
214	2018/03/19_13:48:37	T1	80.2	K-T	Fail
215	2018/03/19_13:48:38	T1	80.2	K-T	Fail
216	2018/03/19_13:48:39	T1	80.2	K-T	Fail
217	2018/03/19_13:48:40	T1	80.2	K-T	Fail
218	2018/03/19_13:48:41	T1	80.2	K-T	Fail
219	2018/03/19_13:48:42	T1	80.2	K-T	Fail
220	2018/03/19_13:48:43	T1	80.2	K-T	Fail
221	2018/03/19_13:48:44	T1	80.2	K-T	Fail
222	2018/03/19_13:48:45	T1	80.2	K-T	Fail
223	2018/03/19_13:48:46	T1	80.2	K-T	Fail
224	2018/03/19_13:48:47	T1	80.2	K-T	Fail
225	2018/03/19_13:48:48	T1	80.2	K-T	Fail
226	2018/03/19_13:48:49	T1	80.2	K-T	Fail
227	2018/03/19_13:48:50	T1	80.2	K-T	Fail
228	2018/03/19_13:48:51	T1	80.2	K-T	Fail
229	2018/03/19_13:48:52	T1	80.2	K-T	Fail
230	2018/03/19_13:48:53	T1	80.2	K-T	Fail
231	2018/03/19_13:48:54	T1	80.2	K-T	Fail
232	2018/03/19_13:48:55	T1	80.2	K-T	Fail
233	2018/03/19_13:48:56	T1	80.2	K-T	Fail
234	2018/03/19_13:48:57	T1	80.2	K-T	Fail
235	2018/03/19_13:48:58	T1	80.2	K-T	Fail
236	2018/03/19_13:48:59	T1	80.2	K-T	Fail
237	2018/03/19_13:49:00	T1	80.2	K-T	Fail
238	2018/03/19_13:49:01	T1	80.2	K-T	Fail
239	2018/03/19_13:49:02	T1	80.2	K-T	Fail
240	2018/03/19_13:49:03	T1	80.2	K-T	Fail
241	2018/03/19_13:49:04	T1	80.2	K-T	Fail
242	2018/03/19_13:49:05	T1	80.2	K-T	Fail
243	2018/03/19_13:49:06	T1	80.2	K-T	Fail
244	2018/03/19_13:49:07	T1	80.2	K-T	Fail
245	2018/03/19_13:49:08	T1	80.2	K-T	Fail
246	2018/03/19_13:49:09	T1	80.2	K-T	Fail
247	2018/03/19_13:49:10	T1	80.2	K-T	Fail
248	2018/03/19_13:49:11	T1	80.2	K-T	Fail
249	2018/03/19_13:49:12	T1	80.2	K-T	Fail
250	2018/03/19_13:49:13	T1	80.2	K-T	Fail
251	2018/03/19_13:49:14	T1	80.2	K-T	Fail
252	2018/03/19_13:49:15	T1	80.2	K-T	Fail
253	2018/03/19_13:49:16	T1	80.2	K-T	Fail
254	2018/03/19_13:49:17	T1	80.2	K-T	Fail
255	2018/03/19_13:49:18	T1	80.2	K-T	Fail
256	2018/03/19_13:49:19	T1	80.2	K-T	Fail
257	2018/03/19_13:49:20	T1	80.2	K-T	Fail
258	2018/03/19_13:49:21	T1	80.2	K-T	Fail
259	2018/03/19_13:49:22	T1	80.2	K-T	Fail
260	2018/03/19_13:49:23	T1	80.2	K-T	Fail
261	2018/03/19_13:49:24	T1	80.2	K-T	Fail
262	2018/03/19_13:49:25	T1	80.2	K-T	Fail
263	2018/03/19_13:49:26	T1	80.2	K-T	Fail
264	2018/03/19_13:49:27	T1	80.2	K-T	Fail
265	2018/03/19_13:49:28	T1	80.2	K-T	Fail
266	2018/03/19_13:49:29	T1	80.2	K-T	Fail
267	2018/03/19_13:49:30	T1	80.2	K-T	Fail
